states,x,y
Andhra Pradesh,-68.0,-155.0
Arunachal Pradesh,248.0,136.0
Assam,201.0,91.0
Bihar,68.0,72.0
Chhattisgarh,-2.0,-8.0
Goa,-176.0,-153.0
Gujarat,-229.0,13.0
Haryana,-139.0,148.0
Himachal Pradesh,-97.0,219.0
Jharkhand,50.0,22.0
Karnataka,-135.0,-163.0
Kerala,-132.0,-251.0
Madhya Pradesh,-84.0,12.0
Maharashtra,-161.0,-67.0
Manipur,226.0,48.0
Meghalaya,164.0,65.0
Mizoram,206.0,15.0
Nagaland,242.0,81.0
Odisha,38.0,-38.0
Punjab,-151.0,194.0
Rajasthan,-190.0,96.0
Sikkim,116.0,114.0
Tamil Nadu,-83.0,-245.0
Telangana,-77.0,-99.0
Tripura,177.0,25.0
Uttar Pradesh,-54.0,104.0
Uttarakhand,-73.0,175.0
West Bengal,103.0,6.0
